Category,Requirement,Body,Reference
GV - Govern,GV.OC Organizational Context,The organizational mission is understood and informs cybersecurity risk management.,NIST CSF GV.OC-01
GV - Govern,GV.OC Organizational Context,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered.",NIST CSF GV.OC-02
GV - Govern,GV.OC Organizational Context,"Legal, regulatory, and contractual requirements regarding cybersecurity -- including privacy and civil-liberties obligations -- are understood and managed.",NIST CSF GV.OC-03
GV - Govern,GV.OC Organizational Context,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated.",NIST CSF GV.OC-04
GV - Govern,GV.OC Organizational Context,"Outcomes, capabilities, and services that the organization depends on are understood and communicated.",NIST CSF GV.OC-05
GV - Govern,GV.RM Risk Management Strategy,Risk management objectives are established and agreed to by organizational stakeholders.,NIST CSF GV.RM-01
GV - Govern,GV.RM Risk Management Strategy,"Risk appetite and risk tolerance statements are established, communicated, and maintained.",NIST CSF GV.RM-02
GV - Govern,GV.RM Risk Management Strategy,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes.,NIST CSF GV.RM-03
GV - Govern,GV.RM Risk Management Strategy,Strategic direction that describes appropriate risk-response options is established and communicated.,NIST CSF GV.RM-04
GV - Govern,GV.RM Risk Management Strategy,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties.",NIST CSF GV.RM-05
GV - Govern,GV.RM Risk Management Strategy,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated.",NIST CSF GV.RM-06
GV - Govern,GV.RM Risk Management Strategy,Strategic opportunities (positive risks) are characterized and are included in organizational cybersecurity risk discussions.,NIST CSF GV.RM-07
GV - Govern,"GV.RR Roles, Responsibilities, and Authorities","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving.",NIST CSF GV.RR-01
GV - Govern,"GV.RR Roles, Responsibilities, and Authorities","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced.",NIST CSF GV.RR-02
GV - Govern,"GV.RR Roles, Responsibilities, and Authorities","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies.",NIST CSF GV.RR-03
GV - Govern,"GV.RR Roles, Responsibilities, and Authorities",Cybersecurity is included in human-resources practices.,NIST CSF GV.RR-04
GV - Govern,GV.PO Policy,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced.",NIST CSF GV.PO-01
GV - Govern,GV.PO Policy,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission.",NIST CSF GV.PO-02
GV - Govern,GV.OV Oversight,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction.,NIST CSF GV.OV-01
GV - Govern,GV.OV Oversight,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks.,NIST CSF GV.OV-02
GV - Govern,GV.OV Oversight,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed.,NIST CSF GV.OV-03
